model,train_id,class_name,gt_support,prediction_support,true_positive,false_positive,false_negative,iou_fraction,iou_percent,precision_fraction,recall_fraction,f1_dice_fraction
CGFormer DAV2 prior,0,empty,4517581164,5031293171,4338738828,692554343,178842336,0.8327497091334288,83.27497091334288,0.8623506284643018,0.9604119263146459,0.9087435179866151
CGFormer DAV2 prior,1,road,10544769,11629495,356788,11272707,10187981,0.016353312362988277,1.6353312362988277,0.030679578090020247,0.033835544429659865,0.032180369098158114
CGFormer DAV2 prior,2,walkway,13095470,9657685,98871,9558814,12996599,0.00436434009567462,0.436434009567462,0.010237546575602746,0.007550015387000238,0.008690750799174883
CGFormer DAV2 prior,3,dirt,2388765,5154303,43227,5111076,2345538,0.005763722190910447,0.5763722190910447,0.00838658495629768,0.01809596172080552,0.011461384147670417
CGFormer DAV2 prior,4,gravel,2657293,17491644,104199,17387445,2553094,0.005198321873800496,0.5198321873800495,0.005957072988679623,0.03921246170444885,0.010342878137938492
CGFormer DAV2 prior,5,rock,148455,32604150,5396,32598754,143059,0.00016477740133517943,0.016477740133517944,0.00016550040408966343,0.03634771479572935,0.0003295005084328407
CGFormer DAV2 prior,6,grass,14826498,31537495,1619424,29918071,13207074,0.03619263826186369,3.6192638261863688,0.05134916390791342,0.10922498353960591,0.06985696853159304
CGFormer DAV2 prior,7,vegetation,5404763,14208993,283858,13925135,5120905,0.014684919703145873,1.4684919703145873,0.01997734814845781,0.05251997173604097,0.028944787525652913
CGFormer DAV2 prior,8,tree,6429748,27223892,2108656,25115236,4321092,0.06684599998529085,6.684599998529086,0.07745608159186056,0.32795313284439764,0.12531518135928238
CGFormer DAV2 prior,9,ground_obstacle,15318089,25328866,212153,25116713,15105936,0.005246792107452387,0.5246792107452387,0.008375937556778104,0.013849834662796384,0.010438813928374216
CGFormer DAV2 prior,10,person,863,0,0,0,863,0.0,0.0,,0.0,0.0
CGFormer DAV2 prior,11,bicycle,39028,71835,0,71835,39028,0.0,0.0,0.0,0.0,0.0
CGFormer DAV2 prior,12,vehicle,2906439,2666395,188919,2477476,2717520,0.03508952128701883,3.508952128701883,0.07085184303150883,0.06500015998959552,0.06779997394503406
CGFormer DAV2 prior,13,water,0,550287,0,550287,0,0.0,0.0,0.0,,0.0
