model,status,evaluated_samples,valid_evaluated_voxels,sc_precision_fraction,sc_recall_fraction,sc_iou_fraction,sc_iou_percent,ssc_miou_gt_present_fraction,ssc_miou_gt_present_percent,ssc_miou_all_21_zero_filled_fraction,ssc_miou_all_21_zero_filled_percent,ssc_miou_legacy_union_present_fraction,overall_voxel_accuracy_fraction,ssc_fw_iou_nonempty_fraction,macro_semantic_precision_gt_present_fraction,macro_semantic_recall_gt_present_fraction,macro_semantic_f1_gt_present_fraction,gt_present_semantic_class_count,union_present_semantic_class_count,dataset_manifest_sha256,manifest_provenance,source_metrics_json
CGFormer DAV2 prior,canonical test re-evaluation,3842,5306159104,0.349347028756743,0.12176804869788775,0.09925737487850626,9.925737487850625,0.01373646467366125,1.373646467366125,0.011774112577423928,1.1774112577423927,0.013013492848731711,0.8222443578276841,0.02495492400626082,0.05908354566128509,0.04623314640150315,0.02655217262580731,18,19,9f87fcd0c4f4f236e4b7d9b56e7624965bbb0f595d36fcc83870e77add782cb6,recorded during inference,/datatank/giridhar.vb/data/checkpoints/corrected_evaluation_v1/cgformer_dav2/test/selected_version0_best_epoch0/metrics.json
"FSSC RGB context DPT, depth FiLM-DPT",canonical test re-evaluation,3842,5306159104,0.6283506602686715,0.4321905035791389,0.3442029733520126,34.42029733520126,0.034848845164498585,3.4848845164498585,0.029870438712427366,2.9870438712427365,0.031363960648048736,0.864414172116012,0.2874132262053794,0.06425856213708296,0.06252593474491719,0.05880580051223253,18,20,9f87fcd0c4f4f236e4b7d9b56e7624965bbb0f595d36fcc83870e77add782cb6,recorded during inference,/datatank/giridhar.vb/data/checkpoints/corrected_evaluation_v1/fssc_original/test/selected_epoch009/metrics.json
FSSC-VoxDet V1 — FSSC RGB-context/DPT + FiLM-DPT depth + spatial encoder + VoxDet TDP/VoxNT,canonical test re-evaluation,3842,5306159104,0.6490149655042743,0.5018546169323479,0.39472560276326557,39.472560276326554,0.03829184974469032,3.829184974469032,0.03282158549544885,3.282158549544885,0.034462664770221293,0.8734550593302375,0.3448888951356779,0.0671397330476304,0.06119865363463019,0.06203183009996666,18,20,9f87fcd0c4f4f236e4b7d9b56e7624965bbb0f595d36fcc83870e77add782cb6,reconstructed from deterministic dataset/evaluator contract; legacy result omitted field,/datatank/giridhar.vb/data/checkpoints/corrected_evaluation_v1/fssc_voxdet_v1/test/selected_epoch013/metrics.json
Monocular VoxDet V2 — reference losses and auxiliary head,canonical test re-evaluation,3842,5306159104,0.4161924001625766,0.4369068832942499,0.2708887669768248,27.08887669768248,0.01872874478576568,1.872874478576568,0.016053209816370578,1.6053209816370577,0.01774302137598854,0.8082411784009709,0.21651286204709816,0.03592837247703145,0.03783249802319979,0.0317983014163187,18,19,9f87fcd0c4f4f236e4b7d9b56e7624965bbb0f595d36fcc83870e77add782cb6,reconstructed from deterministic dataset/evaluator contract; legacy result omitted field,/datatank/giridhar.vb/data/checkpoints/corrected_evaluation_v1/monocular_voxdet_v2/test/selected_epoch2/metrics.json
"FSSC-VoxDet V3 — FiLM-DPT depth + ResNet context, 128-channel volume",canonical test re-evaluation,3842,,0.643115779774265,0.49528949922185245,0.38850775842759183,38.850775842759184,0.028501767843204018,2.850176784320402,0.0244300867227463,2.44300867227463,0.027001674798824857,0.8638231557257127,0.305584991852713,0.055609418944946885,0.0466698369669852,0.046404488967118254,18,19,9f87fcd0c4f4f236e4b7d9b56e7624965bbb0f595d36fcc83870e77add782cb6,reconstructed from deterministic dataset/evaluator contract; legacy result omitted field,/datatank/giridhar.vb/data/checkpoints/corrected_evaluation_v1/fssc_voxdet_v3/test/selected_epoch2/metrics.json
"FSSC-VoxDet V4 — FiLM-DPT depth + V-JEPA 2.1 DPT context, 128-channel volume",canonical test re-evaluation,3842,,0.6469709342255193,0.4933200997227998,0.38868976608910377,38.86897660891038,0.03474668514512414,3.4746685145124143,0.029782872981534977,2.978287298153498,0.03291791224274918,0.8699754963095807,0.33051465492477466,0.06283016216171895,0.059219754047151706,0.05666010377661971,18,19,9f87fcd0c4f4f236e4b7d9b56e7624965bbb0f595d36fcc83870e77add782cb6,reconstructed from deterministic dataset/evaluator contract; legacy result omitted field,/datatank/giridhar.vb/data/checkpoints/corrected_evaluation_v1/fssc_voxdet_v4/test/selected_epoch4/metrics.json
FSSC-VoxDet V5 — corrected VoxNT/evaluation,canonical test re-evaluation,3842,,0.6340027789610481,0.5124075243596087,0.39543637837213175,39.543637837213176,0.03815504736616307,3.815504736616307,0.03270432631385407,3.2704326313854066,0.03433954262954677,0.8658808718224217,0.3252759843353148,0.06720382332048726,0.07082847481624603,0.06326147924837966,18,20,9f87fcd0c4f4f236e4b7d9b56e7624965bbb0f595d36fcc83870e77add782cb6,reconstructed from deterministic dataset/evaluator contract; legacy result omitted field,/datatank/giridhar.vb/data/checkpoints/corrected_evaluation_v1/fssc_voxdet_v5/test/selected_epoch2/metrics.json
CGFormer Vjepa2_1ML_FiLM_DPT,"historical only — checkpoint retained, but its recorded V-JEPA depth-prior dependency tree is missing; no substitution permitted",,,,,0.3651446646015086,36.51446646015086,,,,,,,,,,,,,,,historical metric_sources.csv
"FSSC RGB context FiLM-DPT, depth FiLM-DPT",historical only — checkpoint unavailable,,,,,,,,,,,,,,,,,,,,,historical metric_sources.csv
"FSSC video context DTA-DPT, depth DTA-MVS",historical only — checkpoint unavailable,,,,,,,,,,,,,,,,,,,,,historical metric_sources.csv
"FSSC video context DTA-DPT, depth DTA-FiLM-MVS",historical only — checkpoint unavailable,,,,,,,,,,,,,,,,,,,,,historical metric_sources.csv
