model,scope,metric,class,historical_fraction,corrected_fraction,absolute_change_fraction,note
CGFormer DAV2 prior,overall,sc_iou,,0.3676797731337096,0.09925737487850626,-0.2684223982552033,
CGFormer DAV2 prior,overall,ssc_miou_gt_present,,0.0304740174562747,0.01373646467366125,-0.01673755278261345,historical ssc_miou protocol may be ambiguous
CGFormer DAV2 prior,class,iou,road,0.020059321850177,0.016353312362988277,-0.003706009487188723,
CGFormer DAV2 prior,class,iou,walkway,0.0078626632457698,0.00436434009567462,-0.0034983231500951796,
CGFormer DAV2 prior,class,iou,dirt,0.0055669814139907,0.005763722190910447,0.00019674077691974722,
CGFormer DAV2 prior,class,iou,gravel,0.0048630922319937,0.005198321873800496,0.00033522964180679633,
CGFormer DAV2 prior,class,iou,rock,0.0001445365807044,0.00016477740133517943,2.024082063077943e-05,
CGFormer DAV2 prior,class,iou,grass,0.0251472846171182,0.03619263826186369,0.01104535364474549,
CGFormer DAV2 prior,class,iou,vegetation,0.0107390551222258,0.014684919703145873,0.003945864580920073,
CGFormer DAV2 prior,class,iou,tree,0.0789334488167891,0.06684599998529085,-0.012087448831498246,
CGFormer DAV2 prior,class,iou,ground_obstacle,0.0123345864284036,0.005246792107452387,-0.007087794320951213,
CGFormer DAV2 prior,class,iou,person,0.0,0.0,0.0,
CGFormer DAV2 prior,class,iou,bicycle,1.0156064863400928e-05,0.0,-1.0156064863400928e-05,
CGFormer DAV2 prior,class,iou,vehicle,0.0374835350273124,0.03508952128701883,-0.00239401374029357,
CGFormer DAV2 prior,class,iou,water,0.0,0.0,0.0,
CGFormer DAV2 prior,class,iou,building,0.3381025165945351,0.026080865016851053,-0.3120216515776841,
CGFormer DAV2 prior,class,iou,roof,0.0171508138655541,0.012896552054583326,-0.004254261810970775,
CGFormer DAV2 prior,class,iou,cable,0.0,0.0,0.0,
CGFormer DAV2 prior,class,iou,cable_tower,,,,
CGFormer DAV2 prior,class,iou,parking_lot,0.018728424365095,0.015294822390205541,-0.0034336019748894588,
CGFormer DAV2 prior,class,iou,construction,0.0017288496533141,0.001038184927359372,-0.0006906647259547281,
CGFormer DAV2 prior,class,iou,crane,,,,
CGFormer DAV2 prior,class,iou,truck,0.0001510657913736,0.0020415944674225454,0.0018905286760489454,
"FSSC RGB context DPT, depth FiLM-DPT",overall,sc_iou,,,0.3442029733520126,,
