sample_uid,split,scene_id,sequence_id,frame_id,height_m,height_category,scene_category,gt_instances,pred_instances,iou_threshold,tp,fp,fn,precision,recall,f1,absolute_count_error
scene_08_30_000000,test,scene_08,scene_08,000000,30,30,scene_08,2,17,0.25,0,17,2,0.0,0.0,0.0,15
scene_08_30_000000,test,scene_08,scene_08,000000,30,30,scene_08,2,17,0.5,0,17,2,0.0,0.0,0.0,15
scene_08_30_000001,test,scene_08,scene_08,000001,30,30,scene_08,2,26,0.25,0,26,2,0.0,0.0,0.0,24
scene_08_30_000001,test,scene_08,scene_08,000001,30,30,scene_08,2,26,0.5,0,26,2,0.0,0.0,0.0,24
scene_08_30_000004,test,scene_08,scene_08,000004,30,30,scene_08,5,16,0.25,0,16,5,0.0,0.0,0.0,11
scene_08_30_000004,test,scene_08,scene_08,000004,30,30,scene_08,5,16,0.5,0,16,5,0.0,0.0,0.0,11
scene_08_30_000005,test,scene_08,scene_08,000005,30,30,scene_08,4,17,0.25,0,17,4,0.0,0.0,0.0,13
scene_08_30_000005,test,scene_08,scene_08,000005,30,30,scene_08,4,17,0.5,0,17,4,0.0,0.0,0.0,13
scene_08_30_000006,test,scene_08,scene_08,000006,30,30,scene_08,5,17,0.25,0,17,5,0.0,0.0,0.0,12
scene_08_30_000006,test,scene_08,scene_08,000006,30,30,scene_08,5,17,0.5,0,17,5,0.0,0.0,0.0,12
scene_08_30_000007,test,scene_08,scene_08,000007,30,30,scene_08,6,16,0.25,0,16,6,0.0,0.0,0.0,10
scene_08_30_000007,test,scene_08,scene_08,000007,30,30,scene_08,6,16,0.5,0,16,6,0.0,0.0,0.0,10
scene_08_30_000008,test,scene_08,scene_08,000008,30,30,scene_08,8,11,0.25,0,11,8,0.0,0.0,0.0,3
scene_08_30_000008,test,scene_08,scene_08,000008,30,30,scene_08,8,11,0.5,0,11,8,0.0,0.0,0.0,3
scene_08_30_000009,test,scene_08,scene_08,000009,30,30,scene_08,10,10,0.25,0,10,10,0.0,0.0,0.0,0
scene_08_30_000009,test,scene_08,scene_08,000009,30,30,scene_08,10,10,0.5,0,10,10,0.0,0.0,0.0,0
scene_08_30_000010,test,scene_08,scene_08,000010,30,30,scene_08,12,19,0.25,0,19,12,0.0,0.0,0.0,7
scene_08_30_000010,test,scene_08,scene_08,000010,30,30,scene_08,12,19,0.5,0,19,12,0.0,0.0,0.0,7
scene_08_30_000011,test,scene_08,scene_08,000011,30,30,scene_08,17,17,0.25,0,17,17,0.0,0.0,0.0,0
scene_08_30_000011,test,scene_08,scene_08,000011,30,30,scene_08,17,17,0.5,0,17,17,0.0,0.0,0.0,0
scene_08_30_000012,test,scene_08,scene_08,000012,30,30,scene_08,18,16,0.25,0,16,18,0.0,0.0,0.0,2
scene_08_30_000012,test,scene_08,scene_08,000012,30,30,scene_08,18,16,0.5,0,16,18,0.0,0.0,0.0,2
scene_08_30_000013,test,scene_08,scene_08,000013,30,30,scene_08,18,22,0.25,0,22,18,0.0,0.0,0.0,4
scene_08_30_000013,test,scene_08,scene_08,000013,30,30,scene_08,18,22,0.5,0,22,18,0.0,0.0,0.0,4
scene_08_30_000014,test,scene_08,scene_08,000014,30,30,scene_08,14,19,0.25,0,19,14,0.0,0.0,0.0,5
scene_08_30_000014,test,scene_08,scene_08,000014,30,30,scene_08,14,19,0.5,0,19,14,0.0,0.0,0.0,5
scene_08_30_000015,test,scene_08,scene_08,000015,30,30,scene_08,13,14,0.25,0,14,13,0.0,0.0,0.0,1
scene_08_30_000015,test,scene_08,scene_08,000015,30,30,scene_08,13,14,0.5,0,14,13,0.0,0.0,0.0,1
scene_08_30_000016,test,scene_08,scene_08,000016,30,30,scene_08,12,15,0.25,0,15,12,0.0,0.0,0.0,3
scene_08_30_000016,test,scene_08,scene_08,000016,30,30,scene_08,12,15,0.5,0,15,12,0.0,0.0,0.0,3
scene_08_30_000017,test,scene_08,scene_08,000017,30,30,scene_08,14,14,0.25,0,14,14,0.0,0.0,0.0,0
scene_08_30_000017,test,scene_08,scene_08,000017,30,30,scene_08,14,14,0.5,0,14,14,0.0,0.0,0.0,0
scene_08_30_000018,test,scene_08,scene_08,000018,30,30,scene_08,20,22,0.25,0,22,20,0.0,0.0,0.0,2
scene_08_30_000018,test,scene_08,scene_08,000018,30,30,scene_08,20,22,0.5,0,22,20,0.0,0.0,0.0,2
scene_08_30_000019,test,scene_08,scene_08,000019,30,30,scene_08,20,27,0.25,0,27,20,0.0,0.0,0.0,7
scene_08_30_000019,test,scene_08,scene_08,000019,30,30,scene_08,20,27,0.5,0,27,20,0.0,0.0,0.0,7
scene_08_30_000020,test,scene_08,scene_08,000020,30,30,scene_08,24,25,0.25,0,25,24,0.0,0.0,0.0,1
scene_08_30_000020,test,scene_08,scene_08,000020,30,30,scene_08,24,25,0.5,0,25,24,0.0,0.0,0.0,1
scene_08_30_000021,test,scene_08,scene_08,000021,30,30,scene_08,22,24,0.25,0,24,22,0.0,0.0,0.0,2
scene_08_30_000021,test,scene_08,scene_08,000021,30,30,scene_08,22,24,0.5,0,24,22,0.0,0.0,0.0,2
scene_08_30_000022,test,scene_08,scene_08,000022,30,30,scene_08,20,12,0.25,0,12,20,0.0,0.0,0.0,8
scene_08_30_000022,test,scene_08,scene_08,000022,30,30,scene_08,20,12,0.5,0,12,20,0.0,0.0,0.0,8
scene_08_30_000023,test,scene_08,scene_08,000023,30,30,scene_08,16,24,0.25,2,22,14,0.08333333333333333,0.125,0.1,8
scene_08_30_000023,test,scene_08,scene_08,000023,30,30,scene_08,16,24,0.5,0,24,16,0.0,0.0,0.0,8
scene_08_30_000024,test,scene_08,scene_08,000024,30,30,scene_08,14,12,0.25,2,10,12,0.16666666666666666,0.14285714285714285,0.15384615384615385,2
scene_08_30_000024,test,scene_08,scene_08,000024,30,30,scene_08,14,12,0.5,0,12,14,0.0,0.0,0.0,2
scene_08_30_000025,test,scene_08,scene_08,000025,30,30,scene_08,9,11,0.25,1,10,8,0.09090909090909091,0.1111111111111111,0.1,2
scene_08_30_000025,test,scene_08,scene_08,000025,30,30,scene_08,9,11,0.5,0,11,9,0.0,0.0,0.0,2
scene_08_30_000026,test,scene_08,scene_08,000026,30,30,scene_08,10,18,0.25,0,18,10,0.0,0.0,0.0,8
scene_08_30_000026,test,scene_08,scene_08,000026,30,30,scene_08,10,18,0.5,0,18,10,0.0,0.0,0.0,8
scene_08_30_000027,test,scene_08,scene_08,000027,30,30,scene_08,9,21,0.25,0,21,9,0.0,0.0,0.0,12
scene_08_30_000027,test,scene_08,scene_08,000027,30,30,scene_08,9,21,0.5,0,21,9,0.0,0.0,0.0,12
scene_08_30_000028,test,scene_08,scene_08,000028,30,30,scene_08,7,20,0.25,0,20,7,0.0,0.0,0.0,13
