sample_uid,scene_id,height_category,gt_vehicle_voxels,gt_vehicle_instances
scene_08_30_000000,scene_08,30,1243,2
scene_08_30_000001,scene_08,30,860,2
scene_08_30_000004,scene_08,30,2614,5
scene_08_30_000005,scene_08,30,2728,4
scene_08_30_000006,scene_08,30,2247,5
scene_08_30_000007,scene_08,30,2710,6
scene_08_30_000008,scene_08,30,3241,8
scene_08_30_000009,scene_08,30,3497,10
scene_08_30_000010,scene_08,30,3882,12
scene_08_30_000011,scene_08,30,4889,17
scene_08_30_000012,scene_08,30,5531,18
scene_08_30_000013,scene_08,30,3633,18
scene_08_30_000014,scene_08,30,3599,14
scene_08_30_000015,scene_08,30,3318,13
scene_08_30_000016,scene_08,30,2806,12
scene_08_30_000017,scene_08,30,3151,14
scene_08_30_000018,scene_08,30,3962,20
scene_08_30_000019,scene_08,30,4553,20
scene_08_30_000020,scene_08,30,5043,24
scene_08_30_000021,scene_08,30,6413,22
scene_08_30_000022,scene_08,30,5706,20
scene_08_30_000023,scene_08,30,4528,16
scene_08_30_000024,scene_08,30,4141,14
scene_08_30_000025,scene_08,30,3891,9
scene_08_30_000026,scene_08,30,3581,10
scene_08_30_000027,scene_08,30,2959,9
scene_08_30_000028,scene_08,30,3377,7
scene_08_30_000029,scene_08,30,2890,5
scene_08_30_000030,scene_08,30,842,5
scene_08_30_000032,scene_08,30,804,2
scene_08_30_000033,scene_08,30,1242,2
scene_08_30_000034,scene_08,30,1238,2
scene_08_30_000035,scene_08,30,1242,3
scene_08_30_000036,scene_08,30,1564,3
scene_08_30_000039,scene_08,30,2981,6
scene_08_30_000040,scene_08,30,3295,8
scene_08_30_000041,scene_08,30,3963,11
scene_08_30_000042,scene_08,30,3956,11
scene_08_30_000043,scene_08,30,4504,13
scene_08_30_000044,scene_08,30,4633,15
scene_08_30_000045,scene_08,30,4865,17
scene_08_30_000046,scene_08,30,5498,21
scene_08_30_000047,scene_08,30,6887,22
scene_08_30_000048,scene_08,30,6217,29
scene_08_30_000049,scene_08,30,4955,21
scene_08_30_000050,scene_08,30,4286,19
scene_08_30_000051,scene_08,30,3629,15
scene_08_30_000052,scene_08,30,3050,14
scene_08_30_000053,scene_08,30,4670,24
scene_08_30_000054,scene_08,30,5310,26
scene_08_30_000055,scene_08,30,5735,30
