sample_uid,split,scene_id,height_category,gt_vehicle_instances,gt_vehicle_voxels,image_subset_path,gt_instance_path
scene_01_30_000022,train,scene_01,30,1,134,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/train/scene_01_30_000022.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/train/scene_01_30_000022.npz
scene_01_40_000020,train,scene_01,40,1,8,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/train/scene_01_40_000020.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/train/scene_01_40_000020.npz
scene_01_50_000019,train,scene_01,50,1,133,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/train/scene_01_50_000019.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/train/scene_01_50_000019.npz
scene_02_30_000003,train,scene_02,30,10,1014,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/train/scene_02_30_000003.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/train/scene_02_30_000003.npz
scene_02_40_000010,train,scene_02,40,6,690,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/train/scene_02_40_000010.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/train/scene_02_40_000010.npz
scene_02_50_000001,train,scene_02,50,6,872,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/train/scene_02_50_000001.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/train/scene_02_50_000001.npz
scene_03_30_000009,train,scene_03,30,7,1830,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/train/scene_03_30_000009.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/train/scene_03_30_000009.npz
scene_03_40_000005,train,scene_03,40,8,2243,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/train/scene_03_40_000005.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/train/scene_03_40_000005.npz
scene_03_50_000003,train,scene_03,50,8,1797,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/train/scene_03_50_000003.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/train/scene_03_50_000003.npz
scene_04_30_000004,train,scene_04,30,3,781,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/train/scene_04_30_000004.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/train/scene_04_30_000004.npz
