case,sample_uid,threshold,pair_number,gt_id,pred_id,iou_3d
best,scene_08_30_000093,0.1,1,2,1,0.326590
best,scene_08_30_000093,0.1,2,3,3,0.313278
best,scene_08_30_000093,0.1,3,4,2,0.220912
best,scene_08_30_000093,0.1,4,6,5,0.274827
best,scene_08_30_000093,0.1,5,7,6,0.278857
best,scene_08_30_000093,0.1,6,16,19,0.189237
best,scene_08_30_000093,0.25,1,2,1,0.326590
best,scene_08_30_000093,0.25,2,3,3,0.313278
best,scene_08_30_000093,0.25,3,6,5,0.274827
best,scene_08_30_000093,0.25,4,7,6,0.278857
median,scene_08_40_000073,0.1,1,5,2,0.240964
median,scene_08_40_000073,0.1,2,6,4,0.331250
median,scene_08_40_000073,0.1,3,11,5,0.104717
median,scene_08_40_000073,0.1,4,18,14,0.108772
median,scene_08_40_000073,0.25,1,6,4,0.331250
difficult,scene_08_30_000326,0.1,1,1,4,0.252990
difficult,scene_08_30_000326,0.25,1,1,4,0.252990
strict-match-height-50,scene_09_50_000472,0.1,1,1,1,0.385929
strict-match-height-50,scene_09_50_000472,0.1,2,3,2,0.234811
strict-match-height-50,scene_09_50_000472,0.1,3,5,4,0.435601
strict-match-height-50,scene_09_50_000472,0.1,4,6,3,0.524715
strict-match-height-50,scene_09_50_000472,0.25,1,1,1,0.385929
strict-match-height-50,scene_09_50_000472,0.25,2,5,4,0.435601
strict-match-height-50,scene_09_50_000472,0.25,3,6,3,0.524715
strict-match-height-50,scene_09_50_000472,0.5,1,6,3,0.524715
